category,domain,category.size,mean.number.responses,openness,idiosyncratic.members,mean.typicality,mean.wordfreq.SUBTLEXUK,mean.word.length,mean.AoA.Kuperman,mean.concreteness.Brysbaert
academic subject,Abstract,43,13.55,0.684883721,37,3.976190476,4.2,9.21,9.82,2.97
alcoholic drink,Concrete,27,8.05,0.701851852,44,4.51439394,3.42,6.81,11.23,4.64
animal,Concrete,67,15.95,0.761940299,110,4.305989583,4,5.72,5.46,4.89
art form,Abstract,14,3.42,0.755714286,57,4.363095238,4.4,6.93,6.26,4.44
artistic movement,Abstract,9,1.91,0.787777778,39,4,3.31,8.56,11.35,2.64
bathroom fixture,Concrete,16,5.47,0.658125,40,3.994047619,4.1,7.13,5.9,4.72
bird,Concrete,36,8.2,0.772222222,47,4.475,3.56,6.31,6.95,4.86
bird of prey,Concrete,8,3,0.625,21,4.3125,3.61,5.38,6.87,4.9
boat,Concrete,14,3.84,0.725714286,42,4.384615385,3.77,6.57,8.03,4.58
body of water,Concrete,15,5.88,0.608,44,3.994444444,4.24,5.53,5.84,4.8
book genre,Abstract,22,6.79,0.691363636,36,4.385964912,4.25,8.05,8.27,2.68
breed of dog,Concrete,36,8.68,0.758888889,32,4.685606061,2.89,9.42,7.96,4.67
building,Concrete,38,6.72,0.823157895,67,4.18018018,4.32,7.47,7.99,4.64
building material,Concrete,20,5.35,0.7325,31,3.958333333,4.22,5.95,7.01,4.75
camping equipment,Concrete,25,4.95,0.802,47,3.675,3.93,7.16,4.54,4.86
carpenter's tool,Concrete,16,3.84,0.76,30,3.966666667,3.89,6,6.87,4.71
chemical element,Concrete,35,8.75,0.75,22,4.215517241,3.38,6.37,10.36,4.23
citrus fruit,Concrete,15,4.3,0.713333333,8,4.384615385,3.31,7.93,6.21,4.79
clothing,Concrete,48,13.45,0.719791667,73,4.235042735,3.7,6.31,5.96,4.78
colour,Concrete,24,12.75,0.46875,21,4.291666667,4.23,5.33,6.03,4.17
cosmetic,Concrete,24,6.21,0.74125,28,3.975490196,3.09,8.21,8.62,4.48
crime,Abstract,24,6.25,0.739583333,39,4.539215686,3.76,9.17,9.3,3.28
dairy product,Concrete,11,4.5,0.590909091,15,3.893939394,4.41,7.18,5.21,4.82
day of the week,Abstract,7,6.6,0.057142857,0,4.845238095,4.66,7.14,5.46,3.05
disease,Abstract,20,5.33,0.7335,60,4.061111111,3.2,6.25,9.78,3.84
drug,Concrete,25,6.8,0.728,36,4.088541667,3.26,7.2,11.08,4.06
emotion,Abstract,34,6.6,0.805882353,59,4.5,4.32,6.91,6.92,2.37
fabric,Concrete,15,5.21,0.652666667,17,4.416666667,3.64,5.4,8.03,4.58
family relationship,Abstract,49,13.4,0.726530612,33,4.408730159,4,8.84,5.03,4.31
farm animal,Concrete,20,6.85,0.6575,17,4.258333333,4.24,4.9,4.66,4.9
fish,Concrete,25,5.65,0.774,45,4.161764706,3.36,6.6,9.41,4.8
flower,Concrete,21,5.5,0.738095238,34,4.615740741,3.38,7.38,7.72,4.81
four-legged animal,Concrete,39,11.35,0.708974359,38,4.201754386,4.03,5.49,5.32,4.88
four-wheeled vehicle,Concrete,12,3.95,0.670833333,29,4.194444444,4.34,6.42,6.37,4.76
fraction,Abstract,27,7.47,0.723333333,42,4.43452381,4.19,8.48,5.8,3.6
fruit,Concrete,49,13.65,0.721428571,43,4.453900709,3.61,7.37,6.6,4.79
fuel,Concrete,14,3.35,0.760714286,17,4.006410256,3.93,5.64,7.72,4.47
furniture,Concrete,29,7.1,0.755172414,34,4.336419753,3.88,6.9,5.7,4.87
gardening tool,Concrete,16,4.15,0.740625,41,4.131944445,3.41,6.94,6.9,4.69
gemstone,Concrete,12,4.29,0.6425,10,4.291035354,3.38,5.75,9.24,4.59
geometric shape,Abstract,17,7.11,0.581764706,17,4.391666667,3.08,7.29,7.57,4.57
green vegetable,Concrete,17,5.8,0.658823529,27,4.244791667,3.8,8.29,6.26,4.86
hair colour,Concrete,17,7.25,0.573529412,19,3.774509804,4.54,6.18,5.22,4.19
hat,Concrete,17,4,0.764705882,20,4.4375,3.65,5.94,7.54,4.36
healthcare profession,Abstract,24,6.25,0.739583333,48,4.56372549,3.37,10.96,9.88,4.41
herb,Concrete,15,4.78,0.681333333,20,3.988095238,3.91,6.07,9.1,4.68
human dwelling,Concrete,16,4.92,0.6925,30,3.522222222,4.13,6,6.84,4.74
infectious disease,Abstract,14,2.84,0.797142857,36,4.143939394,3.3,6.79,8.68,3.9
injury,Abstract,20,3.35,0.8325,52,4.166666667,3.89,6.45,7.06,4.03
insect,Concrete,30,7.1,0.763333333,31,4.314814815,3.46,7.2,5.72,4.84
jewellery,Concrete,15,5.26,0.649333333,39,4.354166667,3.76,6.8,6.38,4.77
kitchen appliance,Concrete,30,7.68,0.744,56,3.858024691,3.84,7.03,6.54,4.78
kitchen utensil,Concrete,31,7,0.774193548,42,4.25,3.75,7.42,6.74,4.81
legal profession,Abstract,10,3.5,0.65,37,4.435185185,3.68,8.8,10.4,4.3
living room furniture,Concrete,23,5.9,0.743478261,43,3.599206349,4.27,6.26,5.3,4.87
meat,Concrete,25,7,0.72,37,3.573333333,4.15,5.6,6.55,4.8
medical specialty,Abstract,21,3.45,0.835714286,57,4.462962963,3.19,9.95,9.52,4.03
metal,Concrete,16,6.11,0.618125,7,4.364583333,3.91,5.94,9.42,4.57
military title,Abstract,14,3.95,0.717857143,14,4.339285714,4.52,7.57,8.13,3.66
month,Abstract,12,11.8,0.016666667,0,4.916666667,4.54,6.17,5.73,3.15
musical instrument,Concrete,31,11.8,0.619354839,21,4.272988506,3.47,7,7.93,4.69
natural landform,Concrete,21,4.59,0.781428571,33,4.379166667,4.1,6.24,6.37,4.84
negative emotion,Abstract,27,5.1,0.811111111,44,4.382716049,4.03,6.96,7.35,2.22
negative personal quality,Abstract,27,3.5,0.87037037,51,4.142361111,3.7,7.74,7.98,2.25
non-violent crime,Abstract,11,2.67,0.757272727,25,3.677083333,3.57,8.45,10.07,3.14
nut,Concrete,17,4.3,0.747058824,7,4.535714286,3.29,7.18,7.21,4.78
part of a boat,Concrete,19,4.31,0.773157895,34,4.098484848,3.71,5.11,8,4.42
part of a building,Concrete,26,6.28,0.758461538,74,3.849358974,4.27,6.27,6.45,4.58
part of a tree,Concrete,15,5.25,0.65,7,4.172222222,4.03,5,6.14,4.69
part of the body,Concrete,55,15.9,0.710909091,27,4.363636364,4.4,4.96,4.89,4.82
part of the face,Concrete,26,10.35,0.601923077,19,3.833333333,3.95,5.88,4.83,4.88
personal quality,Abstract,33,4.89,0.851818182,89,4.145833333,4.27,7.45,6.93,2.37
political system,Abstract,8,2.5,0.6875,41,4.178571429,3.89,11.63,11.84,2.44
positive emotion,Abstract,17,3.45,0.797058824,41,4.475490196,4.24,7.53,7.47,2.64
positive personal quality,Abstract,32,4.53,0.8584375,80,4.602150538,4.06,8.25,7.29,2.1
prime number,Abstract,21,9.55,0.545238095,6,4.275,4.67,7.71,4.29,3.75
profession,Abstract,46,8.9,0.806521739,73,4.259920635,3.98,8.02,7.39,4.54
psychological illness,Abstract,14,4.37,0.687857143,24,4.166666667,3.12,9.36,12.89,2.57
racket sport,Abstract,6,3.1,0.483333333,4,4.016666667,3.25,8.5,9.87,4.6
reading material,Concrete,25,5.3,0.788,41,3.936507937,3.87,8.04,9.05,4.52
religion,Abstract,21,5.75,0.726190476,10,4.244791667,3.1,7.67,12.03,2.76
religious building,Concrete,10,4.16,0.584,12,4.821428571,3.75,7.6,9.65,4.67
rodent,Concrete,13,3.45,0.734615385,15,3.734217172,3.63,6.77,6.36,4.86
room in a house,Concrete,26,8.55,0.671153846,29,3.647435897,4.35,6.77,6.31,4.47
royal title,Abstract,13,6.05,0.534615385,19,4.368055556,4.44,5.77,7.59,4.07
science,Abstract,17,4.8,0.717647059,38,3.994444444,3.59,9.06,10.94,3.07
season,Abstract,7,4.35,0.378571429,10,4.107142857,4.59,5.43,5.76,3.85
snake,Concrete,11,3.65,0.668181818,14,4.431818182,3.78,6.55,6.97,4.92
social gathering,Abstract,14,2.22,0.841428571,55,4.128205128,4.61,6.79,6.99,3.75
social relationship,Abstract,27,5.26,0.805185185,52,4.049382716,4.47,7.96,6.12,3.78
spice,Concrete,20,4.61,0.7695,18,3.661458333,3.9,6.65,9.3,4.59
sport,Abstract,46,12.25,0.733695652,41,4.14254386,3.84,7.63,8.13,4.46
statistical term,Abstract,20,4.5,0.775,62,4.246212121,3.75,8.45,10.23,2.62
stinging insect,Concrete,8,2.95,0.63125,15,4.03125,3.42,5.63,6.36,4.89
string instrument,Concrete,15,5.5,0.633333333,16,3.967948718,3.41,6.27,8.92,4.69
supernatural being,Abstract,19,3.79,0.800526316,34,4.093137255,3.8,6.84,6.64,3.31
symptom of illness,Abstract,32,5.7,0.821875,55,4.182795699,3.49,7.66,6.09,3.64
team sport,Abstract,22,7.65,0.652272727,22,4.112745098,3.52,8.45,8.2,4.52
three-dimensional shape,Abstract,8,3.28,0.59,17,4.402777778,3.13,6.5,8.45,4.67
time of day,Abstract,20,6.15,0.6925,56,4.177083333,4.17,6,5.33,3.75
tool,Concrete,16,4.75,0.703125,51,4.127777778,3.66,5.94,7.23,4.81
tree,Concrete,23,4.35,0.810869565,40,4.428571428,3.59,6.74,7.41,4.63
two-dimensional shape,Abstract,15,7.05,0.53,11,4.166666667,2.78,8.13,8.35,4.42
two-wheeled vehicle,Concrete,8,2.35,0.70625,6,4.833333334,3.48,7.63,6.35,4.65
type of word,Abstract,5,3.69,0.262,28,4.583333333,2.61,6,8.13,2.63
unit of length,Abstract,20,6.9,0.655,18,4.541666667,3.89,7.1,7.63,3.96
unit of time,Abstract,24,7.7,0.679166667,12,4.321428571,4.72,6.5,7.7,3.16
unit of weight,Abstract,19,5.21,0.725789474,12,4.361111111,3.32,6.84,8.93,4.05
vegetable,Concrete,38,9.65,0.746052632,26,4.266666667,3.78,7.68,6.58,4.87
vehicle,Concrete,28,7.2,0.742857143,39,4.185897436,4.17,6.54,6.2,4.75
violent crime,Abstract,19,4.42,0.767368421,31,4.31372549,3.78,8.16,9.35,3.47
water bird,Concrete,14,3.41,0.756428571,31,4.173076923,3.47,6.21,7.9,4.78
water sport,Abstract,15,5.05,0.663333333,23,4.525,3.36,10,7.76,4.18
weapon,Concrete,21,4.4,0.79047619,49,3.969298246,3.78,6.1,6.88,4.89
weather,Concrete,34,7.5,0.779411765,42,4.210784314,4,5.71,5.69,4.18
wind instrument,Concrete,12,4,0.666666667,9,3.902777778,3.11,7.08,8.67,4.79
winter sport,Abstract,16,4.35,0.728125,15,4.111111111,3.06,9.38,8.46,4.25